Year,Region,FFB_RM_Tonnes,RM/Tonnes (Average),CPO_RM_Tonnes
2000,North,9.67,,945.0
2000,South,10.01,,1015.5
2000,Central,9.8,,986.0
2000,East Coast,9.66,,964.0
2000,Sabah,8.7,,941.5
2000,Sarawak,7.93,,
2001,North,8.09,,872.5
2001,South,8.2,,945.5
2001,Central,8.14,,909.0
2001,East Coast,8.01,,859.5
2001,Sabah,7.08,,879.5
2001,Sarawak,6.45,,
2002,North,13.22,,1315.0
2002,South,13.29,,1380.5
2002,Central,13.23,,1351.0
2002,East Coast,13.04,,1370.5
2002,Sabah,11.59,,1306.0
2002,Sarawak,10.55,,
2003,North,15.53,,1518.0
2003,South,15.82,,1551.5
2003,Central,15.69,,1536.5
2003,East Coast,15.49,,1590.5
2003,Sabah,13.93,,1520.5
2003,Sarawak,13.02,,
2004,North,17.14,,1608.0
2004,South,17.44,,1621.0
2004,Central,17.33,,1598.0
2004,East Coast,17.15,,1663.0
2004,Sabah,15.28,,1545.0
2004,Sarawak,14.67,,
2005,North,14.53,,1389.0
2005,South,14.69,,1395.5
2005,Central,14.54,,1393.5
2005,East Coast,14.43,,1388.5
2005,Sabah,12.35,,1362.5
2005,Sarawak,12.22,,
2006,North,15.37,,1491.5
2006,South,15.53,,1523.0
2006,Central,15.34,,1508.0
2006,East Coast,15.34,,1450.0
2006,Sabah,12.97,,1482.5
2006,Sarawak,13.11,,
2007,North,25.86,,2453.0
2007,South,26.22,,2582.5
2007,Central,26.01,,2508.5
2007,East Coast,26.11,,2406.5
2007,Sabah,22.78,,2440.5
2007,Sarawak,23.12,,
2008,North,29.84,,2911.5
2008,South,30.56,,2785.5
2008,Central,29.98,,2717.0
2008,East Coast,30.18,,2409.0
2008,Sabah,26.83,,2739.0
2008,Sarawak,27.16,,
2009,North,22.37,,2205.0
2009,South,22.96,,2237.5
2009,Central,22.44,,2264.0
2009,East Coast,22.61,,2369.0
2009,Sabah,19.85,,2162.5
2009,Sarawak,20.11,,
2010,North,29.22,,2688.0
2010,South,29.69,,2690.0
2010,Central,29.5,,2722.5
2010,East Coast,29.49,,2872.5
2010,Sabah,26.04,,2669.0
2010,Sarawak,26.34,,2681.5
2011,North,36.06,,3227.0
2011,South,36.54,,3203.5
2011,Central,36.19,,3233.0
2011,East Coast,36.29,,3295.0
2011,Sabah,32.12,,3212.0
2011,Sarawak,32.31,,3245.5
2012,North,30.07,,2669.5
2012,South,30.33,,2775.5
2012,Central,30.08,,2828.5
2012,East Coast,30.2,,2667.0
2012,Sabah,26.44,,2690.0
2012,Sarawak,26.43,,2803.0
2013,North,24.39,,2364.5
2013,South,24.53,,2377.0
2013,Central,24.37,,2385.5
2013,East Coast,24.29,,2341.5
2013,Sabah,20.83,,2346.5
2013,Sarawak,20.73,,2355.0
2014,North,25.72,,2384.5
2014,South,25.87,,2370.0
2014,Central,25.54,,2399.5
2014,East Coast,25.67,,2270.5
2014,Sabah,22.3,,2404.0
2014,Sarawak,22.03,,2349.0
2015,North,22.94,,2132.0
2015,South,23.09,,2161.5
2015,Central,22.73,,2178.5
2015,East Coast,22.96,,2142.5
2015,Sabah,19.91,,2134.0
2015,Sarawak,19.44,,2100.5
2016,North,30.14,,2618.5
2016,South,30.19,,2675.0
2016,Central,29.81,,2664.0
2016,East Coast,30.06,,2674.5
2016,Sabah,26.2,,2657.5
2016,Sarawak,25.67,,2578.0
