State,Year,Value,StateYear
Johor,2000,39711,Johor-2000
Johor,2001,43071,Johor-2001
Johor,2002,45817,Johor-2002
Johor,2003,46702,Johor-2003
Johor,2004,49336,Johor-2004
Johor,2005,49466,Johor-2005
Johor,2006,50805,Johor-2006
Johor,2007,47852,Johor-2007
Johor,2008,55182,Johor-2008
Johor,2009,60387,Johor-2009
Johor,2010,64484,Johor-2010
Johor,2011,66490,Johor-2011
Johor,2012,60991,Johor-2012
Johor,2013,65797,Johor-2013
Johor,2014,67499,Johor-2014
Johor,2015,69606,Johor-2015
Johor,2016,78711,Johor-2016
Kedah,2000,1485,Kedah-2000
Kedah,2001,1645,Kedah-2001
Kedah,2002,1822,Kedah-2002
Kedah,2003,2149,Kedah-2003
Kedah,2004,2432,Kedah-2004
Kedah,2005,2595,Kedah-2005
Kedah,2006,2738,Kedah-2006
Kedah,2007,2797,Kedah-2007
Kedah,2008,3214,Kedah-2008
Kedah,2009,3437,Kedah-2009
Kedah,2010,3729,Kedah-2010
Kedah,2011,4215,Kedah-2011
Kedah,2012,4363,Kedah-2012
Kedah,2013,4646,Kedah-2013
Kedah,2014,4926,Kedah-2014
Kedah,2015,5239,Kedah-2015
Kedah,2016,6045,Kedah-2016
Kelantan,2000,103,Kelantan-2000
Kelantan,2001,117,Kelantan-2001
Kelantan,2002,136,Kelantan-2002
Kelantan,2003,189,Kelantan-2003
Kelantan,2004,232,Kelantan-2004
Kelantan,2005,334,Kelantan-2005
Kelantan,2006,380,Kelantan-2006
Kelantan,2007,353,Kelantan-2007
Kelantan,2008,468,Kelantan-2008
Kelantan,2009,521,Kelantan-2009
Kelantan,2010,654,Kelantan-2010
Kelantan,2011,775,Kelantan-2011
Kelantan,2012,861,Kelantan-2012
Kelantan,2013,1025,Kelantan-2013
Kelantan,2014,1171,Kelantan-2014
Kelantan,2015,1298,Kelantan-2015
Kelantan,2016,1784,Kelantan-2016
Melaka,2000,626,Melaka-2000
Melaka,2001,683,Melaka-2001
Melaka,2002,895,Melaka-2002
Melaka,2003,1021,Melaka-2003
Melaka,2004,1053,Melaka-2004
Melaka,2005,1281,Melaka-2005
Melaka,2006,1348,Melaka-2006
Melaka,2007,1240,Melaka-2007
Melaka,2008,1520,Melaka-2008
Melaka,2009,1672,Melaka-2009
Melaka,2010,1817,Melaka-2010
Melaka,2011,1970,Melaka-2011
Melaka,2012,2060,Melaka-2012
Melaka,2013,2166,Melaka-2013
Melaka,2014,2286,Melaka-2014
Melaka,2015,2480,Melaka-2015
Melaka,2016,3308,Melaka-2016
Negeri Sembilan,2000,2015,Negeri Sembilan-2000
Negeri Sembilan,2001,2104,Negeri Sembilan-2001
Negeri Sembilan,2002,2231,Negeri Sembilan-2002
Negeri Sembilan,2003,2410,Negeri Sembilan-2003
